WikiPathways ID	Reactome ID
WP2712	2161522
WP1780	382556
WP2695	2978092
WP2660	2160456
WP2655	381183
WP2667	381038
WP2706	2426168
WP2753	380994
WP2769	1592389
WP2705	1280218
WP1781	879415
WP2724	2046104
WP2739	977225
WP2707	1169410
WP1782	174143
WP2663	109581
WP1784	75153
WP2680	445717
WP2650	2142753
WP1785	446203
WP2798	2022090
WP1786	422475
WP1787	73884
WP1788	194068
WP2784	2173782
WP1789	428359
WP1790	211859
WP2665	168799
WP2745	1640170
WP1775	69620
WP1792	69278
WP1793	446728
WP1794	202733
WP2661	1500931
WP2756	2262749
WP2651	2262752
WP1795	191273
WP1796	73886
WP1797	400253
WP2796	983169
WP2725	1650814
WP2711	1474290
WP1798	166658
WP1799	388841
WP2726	1280215
WP2690	2564830
WP2794	1834949
WP2688	1489509
WP2694	2172127
WP2659	429914
WP2671	1461973
WP2773	195253
WP2708	1442490
WP2774	1474228
WP1800	112308
WP2696	1266738
WP2793	1643685
WP1802	75205
WP1803	73893
WP1804	73942
WP1805	73894
WP1806	69306
WP1807	73890
WP1808	376172
WP1809	114508
WP2666	1566948
WP2748	380972
WP2767	199977
WP1811	156842
WP1812	72613
WP1813	72764
WP2703	1474244
WP1814	109607
WP1815	983231
WP1816	419524
WP1817	535734
WP2759	2454202
WP2719	2029480
WP2697	1187000
WP1818	140877
WP2685	888590
WP1820	157858
WP2664	881907
WP1821	74160
WP1822	212436
WP2740	1483206
WP2743	1630316
WP1823	430116
WP1824	388396
WP1825	500792
WP1826	114604
WP2657	982772
WP1827	109582
WP1828	189200
WP2723	162906
WP2658	162587
WP2684	162909
WP2771	168253
WP2783	168256
WP1829	198933
WP2728	400508
WP2668	168254
WP2683	168255
WP2716	168249
WP2741	1483249
WP2736	264876
WP1831	163685
WP1832	354192
WP1833	216083
WP1835	909733
WP1836	877300
WP1837	913531
WP1838	448706
WP1839	446652
WP2732	451927
WP1840	512988
WP2704	1059683
WP2673	1266695
WP1841	109606
WP2670	917937
WP2672	1169408
WP1842	983189
WP1843	373760
WP2700	1222352
WP2764	73923
WP2689	68886
WP2785	68874
WP2792	450294
WP1845	450282
WP2682	1500620
WP2698	912446
WP2731	1221632
WP1846	199991
WP2782	1430728
WP2693	71291
WP2729	2022377
WP1848	71387
WP1849	556833
WP1850	202131
WP2715	194441
WP1851	15869
WP1852	189445
WP1853	392499
WP2749	196071
WP1856	196854
WP1857	196849
WP2679	2132295
WP2702	1362409
WP2717	1268020
WP1858	453279
WP1859	453274
WP2757	2555396
WP2652	68877
WP2654	68875
WP2765	68884
WP1861	72086
WP1862	75072
WP2699	2206281
WP1864	397014
WP2801	975871
WP2768	975155
WP2752	166166
WP2761	166058
WP1865	525793
WP1866	375165
WP1867	373753
WP1868	373752
WP2701	112316
WP1870	112311
WP2754	112314
WP1871	112310
WP1872	112313
WP1873	187037
WP2710	927802
WP1874	774815
WP1980	73885
WP2763	168643
WP2750	913709
WP2687	1480926
WP1978	111885
WP1877	432047
WP2691	209952
WP2779	2980736
WP1878	390918
WP1879	211945
WP1880	156580
WP2758	1483257
WP2747	1483255
WP2653	1257604
WP2676	76002
WP1883	75892
WP1884	76009
WP1885	418346
WP1887	163125
WP1888	597592
WP2669	1296071
WP2786	1912422
WP1889	72203
WP1890	75067
WP2678	1170546
WP1892	391251
WP2762	163841
WP2735	109869
WP1895	392517
WP1896	169911
WP1897	186712
WP2686	1655829
WP1898	69304
WP2727	1234174
WP2799	381426
WP2797	400206
WP1900	453276
WP2733	450531
WP2662	432040
WP1901	211000
WP2800	1474165
WP1902	163200
WP1903	76005
WP2770	1475029
WP1904	168928
WP1905	504046
WP1906	73857
WP2772	69242
WP1907	373755
WP1908	392518
WP1909	391160
WP2674	162582
WP2791	1502540
WP2760	201451
WP1910	177929
WP2780	1227986
WP2781	1236394
WP1911	190236
WP1912	372790
WP2714	2028269
WP1913	74752
WP1914	449147
WP2675	1181150
WP2730	157118
WP2720	1980143
WP2789	2644603
WP2718	1980145
WP2722	1980148
WP2721	1980150
WP1916	186797
WP1917	194315
WP1918	376176
WP2713	1433557
WP2742	170834
WP2746	983705
WP2677	2404192
WP1919	194138
WP1920	195721
WP1976	166520
WP1922	425407
WP2788	428157
WP2737	1799339
WP2778	2990846
WP2787	3000170
WP1925	69239
WP1926	422085
WP2656	445989
WP1927	202403
WP1928	157579
WP2766	1428517
WP1929	456926
WP2775	168898
WP2709	1679131
WP2755	2173793
WP2751	381340
WP1931	72766
WP2777	1445148
WP1932	382551
WP1933	112315
WP1934	112307
WP1935	425366
WP2692	432030
WP1936	425393
WP1937	425397
WP1938	379724
WP2734	2142789
WP1939	381119
WP2744	1237044
WP2681	1247673
WP2776	2187338
WP2790	3238698
WP2738	2032785
